Universitas	Provinsi	Kota	Program Studi	Bidang Ilmu	Jenjang	Daya Tampung 2026	Peminat 2025	Peminat 2025 (Num)	Rasio	Situs
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	PENDIDIKAN DOKTER HEWAN	KEDOKTERAN HEWAN	Sarjana	84	488	488	1:6	https://pmb.usk.ac.id/
UNIVERSITAS SYIAH KUALA	Aceh	Kota Banda Aceh	TEKNIK SIPIL	TEKNIK SIPIL	Sarjana	98	736	736	1:8	https://pmb.usk.ac.id/
UNIVERSITAS INDONESIA	Jawa Barat	Depok	PENDIDIKAN DOKTER	KEDOKTERAN	Sarjana	75	3540	3540	1:47	https://simak.ui.ac.id/
UNIVERSITAS INDONESIA	Jawa Barat	Depok	ILMU KOMPUTER	SAINS DATA & KOMPUTER	Sarjana	60	2100	2100	1:35	https://simak.ui.ac.id/
INSTITUT TEKNOLOGI BANDUNG	Jawa Barat	Bandung	STEI - KOMPUTASI	TEKNIK INFORMATIKA	Sarjana	120	4500	4500	1:38	https://admission.itb.ac.id/
UNIVERSITAS GADJAH MADA	DI Yogyakarta	Sleman	HUKUM	ILMU HUKUM	Sarjana	150	3200	3200	1:21	https://um.ugm.ac.id/
UNIVERSITAS GADJAH MADA	DI Yogyakarta	Sleman	KEDOKTERAN	KEDOKTERAN	Sarjana	90	4100	4100	1:46	https://um.ugm.ac.id/
UNIVERSITAS AIRLANGGA	Jawa Timur	Surabaya	PSIKOLOGI	ILMU SOSIAL	Sarjana	80	2800	2800	1:35	https://ppmb.unair.ac.id/
UNIVERSITAS DIPONEGORO	Jawa Tengah	Semarang	TEKNIK MESIN	TEKNIK	Sarjana	110	1950	1950	1:18	https://pmb.undip.ac.id/
UNIVERSITAS PADJADJARAN	Jawa Barat	Sumedang	ILMU KOMUNIKASI	KOMUNIKASI	Sarjana	100	4200	4200	1:42	https://smup.unpad.ac.id/
UNIVERSITAS BRAWIJAYA	Jawa Timur	Malang	AGRIBISNIS	PERTANIAN	Sarjana	200	1200	1200	1:6	https://selma.ub.ac.id/
UNIVERSITAS HASANUDDIN	Sulawesi Selatan	Makassar	TEKNIK PERKAPALAN	TEKNIK	Sarjana	60	450	450	1:8	https://regpmb.unhas.ac.id/
UNIVERSITAS UDAYANA	Bali	Badung	PARIWISATA	PARIWISATA	Sarjana	120	1100	1100	1:9	https://e-registrasi.unud.ac.id/
UNIVERSITAS PENDIDIKAN INDONESIA	Jawa Barat	Bandung	DESAIN KOMUNIKASI VISUAL	DESAIN	Sarjana	40	2500	2500	1:63	https://pmb.upi.edu/
UNIVERSITAS ANDALAS	Sumatera Barat	Padang	FARMASI	KESEHATAN	Sarjana	70	1800	1800	1:26	https://pmb.unand.ac.id/
UNIVERSITAS NEGERI JAKARTA	DKI Jakarta	Jakarta Timur	SAINS DATA	SAINS DATA & KOMPUTER	Sarjana	45	0	0	-	https://penmaba.unj.ac.id/
UNIVERSITAS NEGERI MALANG	Jawa Timur	Malang	ANIMASI	SENI	Diploma	50	0	0	-	https://seleksi.um.ac.id/
